72.47	63.84	65.94	35.89	94.28	5.90	39.29	38.72	21.38	36.72	46.49	24.55	0.47	4.38	53.16	57.15	28.49	52.63	16.01	68.18	33.32	29.66	51.08	41.50	97.18	97.47	44.02	44.98	57.73	44.34	45.01	48.31
56.32	11.43	25.32	43.41	60.42	40.61	63.12	26.61	8.64	74.52	68.52	49.40	35.24	3.20	76.55	25.97	51.27	73.96	85.21	45.58	26.27	71.26	64.15	77.15	21.23	50.82	10.40	85.51	33.49	31.03	77.28	77.78
27.81	31.42	81.44	35.67	96.90	84.91	51.38	67.95	73.82	96.79	30.84	8.90	3.15	31.60	39.44	90.14	35.47	69.52	72.89	44.28	20.20	63.95	86.82	62.70	91.15	41.50	92.07	87.97	69.86	86.75	13.01	85.22
50.17	69.26	25.98	50.98	37.70	16.99	7.85	26.06	14.86	9.75	97.19	32.87	60.15	65.86	0.42	60.56	40.15	13.60	94.09	33.75	67.74	38.46	28.42	84.70	93.05	35.46	93.28	67.28	39.60	1.62	56.03	84.73
48.26	61.20	81.94	79.77	90.77	5.30	51.89	52.81	49.63	34.64	75.72	99.88	30.82	89.95	98.78	68.55	72.50	9.52	65.74	87.37	55.96	79.09	68.65	58.24	95.48	96.03	73.29	27.62	57.49	45.45	85.59	0.81
58.49	16.80	22.20	51.98	60.80	62.03	10.20	78.55	75.97	18.24	15.10	33.47	74.04	37.51	14.41	85.21	82.83	62.05	60.42	27.94	5.74	99.65	26.64	25.72	0.58	93.52	0.08	78.45	31.94	85.80	56.23	2.97
18.07	8.78	80.48	8.28	67.66	68.05	50.13	58.86	51.52	54.00	0.24	88.12	53.68	36.96	70.08	85.23	26.32	74.62	29.36	43.31	65.49	11.56	93.96	6.88	57.26	75.85	44.25	1.34	48.91	46.34	76.30	3.07
1.09	91.41	50.91	55.80	13.78	58.16	39.80	29.74	63.03	26.89	17.33	32.15	99.45	40.19	1.02	63.66	57.42	58.32	31.06	26.88	63.15	6.94	79.36	94.27	9.21	93.95	16.97	74.71	83.15	35.18	58.20	28.52
23.52	64.63	31.19	51.99	32.84	50.25	31.20	42.74	18.29	27.16	80.70	58.12	67.77	44.47	99.44	83.24	60.54	54.81	48.38	1.23	25.83	9.86	38.72	37.27	27.89	56.23	60.89	77.06	63.77	90.03	53.51	22.20
82.46	26.90	94.62	43.39	12.45	2.18	28.39	59.61	6.15	46.47	7.07	42.86	37.64	95.38	80.75	56.72	19.66	73.60	45.97	56.10	46.55	64.40	91.60	9.28	16.04	67.83	92.22	94.69	30.99	37.19	16.22	60.55
45.42	75.59	86.05	50.69	51.28	67.62	74.30	25.09	82.34	91.71	72.87	14.46	55.95	30.59	2.13	65.60	91.24	45.04	81.54	72.75	8.49	72.52	34.69	1.44	36.58	84.65	56.01	93.12	52.12	55.26	47.91	41.70
86.96	24.08	54.63	30.12	14.67	59.23	93.75	83.55	97.43	82.13	18.40	81.58	21.73	59.47	46.25	50.50	62.88	30.48	61.16	78.33	45.12	7.64	38.09	78.37	86.41	25.54	77.31	24.40	66.83	78.17	38.15	58.51
23.34	42.82	77.54	93.21	6.00	81.99	31.16	67.28	43.86	63.40	4.23	31.46	37.46	27.84	60.86	22.94	56.90	83.07	40.75	13.51	98.22	97.00	23.57	94.98	15.19	70.59	34.43	42.93	76.41	37.46	45.50	92.40
53.12	22.64	60.14	65.61	57.76	69.77	35.10	93.40	80.75	80.37	66.25	63.02	66.18	97.52	87.21	28.70	62.97	93.73	93.70	13.44	11.63	42.36	45.21	24.31	4.32	48.24	85.47	95.78	15.03	18.62	53.34	86.69
97.26	11.43	93.30	33.34	17.91	93.85	16.31	99.35	66.72	11.48	87.33	9.29	49.97	37.80	19.06	64.75	56.20	12.93	59.23	43.10	74.41	58.65	63.26	71.90	88.60	93.64	20.87	78.56	71.43	84.34	60.88	74.54
53.85	2.23	89.75	49.77	46.93	26.77	97.66	13.11	9.06	88.69	2.95	80.80	43.40	97.05	97.97	2.22	11.98	99.48	81.95	46.56	87.65	21.00	27.33	41.35	37.31	26.92	92.49	10.55	44.78	67.18	0.56	49.46
84.73	30.11	64.82	82.05	85.51	45.33	39.29	16.03	20.82	81.91	2.58	84.99	92.74	74.05	3.08	60.45	78.40	24.30	67.45	59.55	77.04	2.59	98.31	43.95	92.86	45.70	26.13	15.16	62.45	70.51	21.44	76.79
49.46	4.74	90.00	94.69	72.19	6.47	88.45	35.78	68.76	68.40	22.11	50.39	69.43	6.75	63.78	71.21	18.60	62.20	64.65	37.70	66.52	59.58	55.81	23.60	66.86	54.35	59.05	47.83	67.37	23.31	86.94	69.39
27.29	7.57	12.24	12.99	19.16	29.84	7.96	32.96	67.69	26.73	54.35	74.80	31.76	16.36	57.88	4.71	45.08	67.75	47.04	85.76	41.43	39.42	7.04	40.03	95.60	88.67	33.42	66.60	67.48	17.22	2.55	25.37
15.18	96.00	62.01	28.06	48.72	55.72	28.76	32.23	42.67	84.65	19.06	90.35	93.88	0.65	12.99	9.34	88.57	72.21	76.14	91.71	77.45	76.59	84.71	24.05	4.44	96.07	55.88	64.96	5.44	26.41	95.65	62.46
20.20	67.53	87.75	66.18	3.94	18.16	39.27	37.51	93.19	21.38	32.36	40.34	62.26	48.46	22.66	35.02	34.23	43.13	55.63	14.68	93.57	87.08	73.66	78.39	15.26	64.62	6.34	85.85	82.79	76.26	35.37	9.48
44.06	67.11	35.30	28.81	31.09	87.89	90.31	41.03	11.09	79.64	76.73	90.42	45.94	31.08	38.04	64.16	59.86	43.11	10.40	65.27	70.74	34.42	93.46	16.84	69.48	11.73	76.17	64.66	87.48	84.21	62.89	82.85
81.72	36.10	55.24	18.79	98.78	58.59	60.48	25.02	62.17	93.07	12.27	88.33	16.39	62.28	17.72	94.84	70.06	76.61	37.94	9.66	58.95	9.09	48.10	59.28	13.14	54.58	53.20	22.43	74.67	31.77	29.17	16.38
79.02	99.87	78.55	60.34	1.74	87.43	48.86	43.16	8.27	12.67	85.92	64.53	17.07	82.46	96.20	34.76	93.93	88.06	1.82	4.84	43.91	22.92	59.57	30.50	56.55	47.38	92.53	75.89	10.00	15.12	81.53	35.04
9.63	13.13	17.06	31.45	30.92	30.00	34.24	85.78	47.67	58.05	14.71	78.08	0.71	88.72	54.98	69.06	79.61	92.63	11.17	6.47	72.19	39.82	19.59	33.97	52.71	16.88	35.42	82.43	25.88	64.70	44.67	17.72
46.76	66.76	3.22	57.13	22.48	55.49	54.57	55.79	58.96	86.58	63.35	67.87	77.39	25.59	39.51	59.97	12.05	0.64	92.49	46.95	81.17	23.14	70.79	65.38	0.94	89.33	23.97	74.13	38.48	89.38	90.88	66.30
22.52	28.51	97.88	15.30	9.47	24.48	4.25	4.34	3.48	92.95	74.01	60.37	65.61	19.11	63.74	42.16	2.82	93.16	45.67	86.26	14.60	80.34	43.19	36.63	74.43	79.94	73.09	94.81	61.22	61.92	85.01	18.18
46.08	52.73	93.12	66.34	89.18	26.29	87.50	49.50	63.66	96.48	31.06	23.13	78.58	46.99	63.24	90.89	87.95	85.73	85.71	24.67	54.55	48.90	24.36	66.10	67.54	85.58	1.15	40.70	71.62	56.51	58.49	29.30
75.52	99.40	85.76	78.60	74.12	63.66	67.70	78.69	79.64	4.66	95.02	97.39	15.16	39.52	86.31	68.23	7.55	99.47	74.94	77.25	68.91	80.75	31.87	94.76	23.26	2.52	13.80	6.00	43.02	91.73	22.53	1.83
