0.35	23.17	66.91	83.89	3.42	80.68	33.03	78.89	7.16	30.79	79.82	18.41	86.16	75.08	69.56	83.58	79.47	57.34	10.01	6.80	14.66	67.87	51.68	10.60	17.18	71.53	35.74	79.07	72.90	56.06	42.07	58.96	11.35	83.53	27.27	88.19	90.55	64.02	87.29	61.06	10.72	58.66	79.48	6.56	38.90	46.27	50.20	35.06	87.53	22.75	57.75	30.49	16.16	98.75	54.66	52.19	32.24	42.52	13.69	56.42	83.02	14.40	24.68	79.71
21.06	81.38	89.05	79.19	67.93	45.79	81.17	63.96	96.67	23.71	99.37	41.63	8.00	1.19	25.69	37.24	3.41	24.23	95.37	1.73	44.90	2.78	42.35	61.92	89.52	29.80	83.48	25.64	59.82	29.94	62.93	49.81	89.63	76.31	75.43	0.96	28.76	49.89	18.61	75.37	69.16	87.31	36.40	27.27	19.14	40.87	76.31	43.50	82.16	88.35	74.93	54.85	59.60	99.96	36.94	95.72	46.30	66.34	58.61	69.12	22.22	33.67	70.91	55.37
66.90	50.28	27.03	69.02	48.94	14.69	72.14	97.80	52.19	79.24	99.60	24.87	53.53	10.63	9.39	55.32	4.94	32.41	2.73	24.89	52.05	67.57	37.72	51.84	97.80	93.26	93.70	31.86	67.87	21.97	4.59	43.52	17.23	97.08	56.32	86.86	69.46	28.81	71.10	57.79	71.48	23.78	70.37	2.90	89.63	65.52	42.37	63.97	3.35	87.07	16.68	21.17	38.13	20.56	17.15	44.69	12.33	61.23	9.56	59.98	9.70	85.64	95.87	10.85
47.92	74.28	79.49	84.59	53.37	59.59	41.30	46.29	92.79	96.06	49.90	93.41	91.88	84.45	99.56	60.05	27.30	12.97	20.55	54.96	34.80	34.34	44.99	14.79	28.57	84.78	42.41	9.20	55.47	27.00	15.13	41.38	50.45	42.38	79.16	83.74	6.16	51.45	39.12	65.90	71.95	99.20	26.04	26.14	29.84	0.19	73.45	31.95	87.78	24.90	21.33	50.43	18.48	16.47	45.09	86.74	47.48	25.65	95.09	25.79	92.75	5.89	7.78	94.85
31.52	0.33	74.95	57.38	32.34	34.16	97.14	13.03	86.01	4.49	24.64	11.83	43.20	56.51	9.05	27.46	10.07	16.78	91.65	1.89	25.90	67.42	5.35	98.88	6.41	18.73	47.84	66.71	79.66	58.35	34.35	99.31	65.05	62.84	56.81	88.54	92.10	6.13	13.63	41.73	65.01	64.48	50.06	69.08	83.83	45.97	61.71	54.02	12.85	5.71	43.12	37.35	47.40	54.70	24.42	84.51	97.53	1.78	97.01	6.21	63.02	95.54	91.74	89.37
46.12	34.39	44.60	40.40	68.58	59.65	93.62	50.52	83.33	46.80	56.45	9.55	74.12	32.68	19.52	5.61	61.63	3.76	56.03	17.87	76.45	82.46	20.35	90.16	49.44	39.85	9.37	15.81	76.96	49.59	96.95	51.86	38.63	65.96	28.77	45.71	8.46	27.87	4.82	35.15	82.02	57.22	2.55	37.76	79.74	42.97	8.75	8.89	64.58	38.10	89.16	17.72	64.78	51.86	90.42	78.60	39.59	28.48	10.72	57.82	38.69	29.55	84.08	52.90
91.74	64.48	4.10	62.39	91.25	74.67	86.08	88.29	77.06	67.32	51.96	64.24	48.18	4.71	19.89	29.10	62.77	69.05	3.68	77.24	22.21	2.95	18.38	88.93	35.60	42.28	46.70	5.33	89.68	23.73	11.15	26.31	20.59	8.47	5.72	38.22	70.71	60.13	20.83	35.28	12.23	9.07	22.92	48.60	84.98	38.60	95.89	44.32	22.91	89.02	53.04	48.04	41.96	66.77	88.32	60.82	59.38	63.62	73.31	55.93	27.94	44.93	58.73	73.06
93.53	93.56	67.98	25.82	31.69	26.15	15.65	58.57	74.76	18.88	56.52	53.70	22.16	44.46	65.84	18.71	95.88	63.07	25.39	47.32	12.92	42.76	63.22	61.39	99.82	25.17	66.52	2.56	72.97	64.96	45.24	42.51	18.83	45.52	95.94	62.18	6.47	38.10	37.66	5.80	57.32	89.68	84.28	59.41	30.99	83.78	20.78	12.54	68.19	18.03	19.14	28.28	71.38	24.07	69.76	0.19	64.01	98.87	11.77	86.28	69.31	50.37	58.35	95.59
42.97	53.02	85.78	29.09	70.26	18.39	4.31	63.92	57.78	32.11	72.50	55.62	91.19	63.29	17.79	96.11	87.25	60.86	2.59	3.69	57.36	39.19	70.42	2.78	6.51	27.60	81.19	15.88	15.19	83.31	40.89	49.65	4.43	4.37	69.65	75.95	98.82	67.45	23.77	38.32	84.56	9.77	21.26	78.83	84.21	18.52	11.31	5.26	67.60	41.16	16.42	90.47	24.51	90.19	92.34	27.52	38.18	24.80	93.91	40.53	82.46	11.12	80.35	88.43
81.34	50.67	20.15	27.45	74.47	86.90	47.21	97.85	23.10	0.54	25.90	27.72	79.44	24.64	71.28	92.77	23.11	53.58	99.35	7.51	32.71	91.52	43.74	66.45	27.49	99.15	35.65	26.56	98.16	77.05	46.20	20.43	87.48	88.13	37.76	29.44	5.19	41.73	33.98	64.80	48.29	44.10	76.99	60.49	94.38	32.44	2.85	66.20	83.79	67.73	20.05	43.39	1.13	95.36	88.61	15.91	98.68	85.72	37.64	70.58	19.94	4.12	59.18	4.02
