66.96	46.46	46.95	99.68	72.69	90.88	58.48	85.10	76.39	24.04	90.11	1.21	83.35	16.82	96.89	19.86
36.55	42.29	17.53	22.06	81.24	37.85	14.96	82.64	34.48	30.41	71.47	97.11	14.31	81.83	11.25	96.65
51.98	47.49	6.58	1.82	99.00	97.11	89.22	28.50	0.14	82.13	47.81	16.09	41.88	23.89	94.26	7.88
63.53	44.44	15.13	19.43	48.72	35.99	9.97	20.46	54.35	73.80	93.31	36.14	91.16	53.40	22.74	78.55
85.31	67.85	39.81	80.38	21.67	44.20	39.29	84.98	73.77	72.16	84.68	6.34	13.94	99.77	76.98	29.34
93.27	34.64	87.33	96.24	36.71	97.79	1.13	91.85	1.23	31.53	64.60	12.50	3.00	59.80	23.57	80.84
95.07	99.60	13.34	49.06	4.19	39.10	57.09	20.54	49.85	8.51	47.10	57.85	48.41	77.00	66.95	77.95
62.89	47.05	80.35	49.44	78.98	23.13	61.54	95.10	84.45	98.66	25.17	3.68	1.15	24.58	59.13	34.27
50.19	61.06	92.66	4.73	90.67	23.24	21.99	0.20	61.47	79.35	40.52	75.91	15.05	49.19	87.40	51.92
7.15	48.33	12.14	69.76	31.22	74.89	80.52	37.90	98.95	45.46	18.23	44.57	60.36	32.17	26.71	88.49
4.37	60.29	52.60	10.97	1.62	53.42	3.57	55.36	48.86	83.98	33.98	2.43	96.57	26.53	63.30	97.41
1.28	78.77	61.74	57.04	15.85	14.43	85.36	22.97	98.61	32.22	73.83	80.78	1.86	80.72	70.65	24.89
81.35	77.39	26.05	41.02	10.15	59.96	11.07	93.08	7.26	76.02	12.48	0.83	70.74	94.69	53.37	45.14
33.22	21.94	20.17	83.52	40.50	48.84	88.19	98.55	64.64	45.40	42.85	85.99	95.36	36.92	51.04	81.78
99.51	82.56	54.15	7.75	73.15	87.30	27.02	60.64	99.51	51.78	74.98	52.75	2.46	72.27	1.83	42.41
12.37	26.59	8.44	27.87	52.20	42.62	7.49	26.33	85.49	73.67	60.27	58.13	54.55	92.87	34.28	60.34
