45.00	75.79	10.33	92.50	25.93	34.16	44.24	39.34	50.19	35.35	59.18	4.28	68.73	68.85	97.88	14.92	100.00	57.68	15.53	23.71	27.65	28.11	48.00	6.08	31.21	37.63	46.75	30.91	15.60	78.68	6.39	76.34	90.42	27.67	17.56	79.84	32.63	21.99	81.46	9.54	51.08	29.65	46.40	40.73	19.97	80.63	38.07	14.64	16.89	97.68	1.47	63.17	11.87	18.03	62.35	91.41	1.97	79.36	53.84	52.47	4.56	18.71	50.77	70.92	15.44	80.85	5.23	13.88	91.73	25.27	83.20	88.33	26.30	0.84	97.55	75.08	43.10	64.42	70.50	1.44	58.75	44.30	12.79	36.90	79.96	72.19	36.13	77.93	93.35	4.24	39.90	64.97	75.78	62.36	92.61	99.41	93.30	94.75	72.04	19.35	88.73	65.21	42.68	23.31	64.10	15.28	29.85	41.10	23.14	18.69	33.80	9.20	23.24	79.90	18.07	96.72	8.38	30.39	77.43	87.18	41.42	55.16	84.83	71.56	64.53	55.83	4.18	67.92
11.23	29.44	78.73	1.55	67.20	38.91	56.88	24.59	28.21	53.27	53.10	6.74	14.25	51.66	36.07	48.58	30.24	84.18	98.06	65.90	36.22	84.46	3.02	98.76	27.58	80.77	93.56	0.74	27.51	32.30	89.18	1.18	91.71	94.91	48.06	83.11	41.58	47.60	25.30	20.69	23.08	12.36	83.20	35.18	51.61	91.00	88.43	26.85	50.47	64.66	73.16	75.32	80.20	24.58	6.93	56.12	52.48	80.38	5.21	44.56	17.09	27.76	42.38	24.08	27.83	29.29	4.36	77.00	59.25	85.03	43.70	31.41	73.11	99.25	39.79	67.31	51.94	17.79	28.49	93.34	21.68	14.95	80.76	50.77	98.95	81.76	35.32	96.61	86.60	79.64	59.22	58.33	91.56	96.02	41.95	44.22	99.92	68.98	4.94	1.96	33.95	69.47	48.77	88.85	72.29	2.08	64.83	55.84	41.76	14.71	59.47	81.07	3.54	25.71	74.59	70.55	18.55	54.46	6.09	95.38	54.87	62.19	80.53	28.66	36.58	16.62	90.83	58.01
14.31	19.43	91.67	87.19	2.20	72.37	13.62	6.57	70.08	86.03	83.90	29.19	57.24	70.17	35.74	28.43	31.42	62.88	33.25	74.95	12.52	44.03	30.41	49.22	28.78	23.90	21.11	51.51	51.53	76.46	59.63	4.16	75.12	25.27	80.25	97.87	63.65	89.89	11.97	2.02	68.22	90.36	75.12	84.01	91.90	19.49	30.39	34.73	34.88	54.91	16.96	82.00	96.39	97.29	30.18	90.77	51.33	57.91	52.54	32.41	3.38	11.97	57.75	38.54	5.00	89.87	38.17	68.56	74.15	63.93	12.96	9.93	28.36	40.30	29.10	59.15	71.62	34.11	5.36	70.41	21.74	62.64	36.45	59.21	66.57	8.44	83.75	3.16	94.69	51.92	7.94	44.12	24.66	94.38	73.07	61.92	45.11	5.80	29.10	43.86	80.98	38.75	37.20	78.21	2.67	87.20	21.58	0.23	22.67	66.88	56.36	2.79	12.85	98.06	20.02	26.94	48.90	68.12	62.04	79.73	78.06	19.71	17.36	71.71	53.70	69.40	27.19	8.08
12.91	86.29	61.88	70.78	52.73	87.14	79.50	61.66	69.82	85.39	98.41	74.07	94.81	3.08	68.97	11.77	86.65	87.55	61.63	63.70	52.88	22.32	88.15	39.63	25.45	39.78	74.16	58.03	34.23	62.80	27.89	31.11	0.66	80.02	4.67	48.09	81.78	40.30	98.72	78.40	39.34	98.77	85.04	50.63	20.09	39.12	57.39	88.28	12.35	80.66	59.09	39.13	35.78	77.43	70.55	48.07	15.88	36.21	0.12	38.57	8.70	26.63	99.28	9.12	87.10	32.30	21.45	87.92	96.37	31.78	47.23	40.97	32.59	7.03	21.33	87.82	49.78	12.63	97.44	65.39	6.63	56.93	66.34	96.37	42.20	53.80	4.30	11.63	2.49	86.57	30.01	33.79	41.01	82.03	66.91	25.65	40.47	25.74	87.94	71.49	45.15	99.57	74.01	52.10	29.15	78.20	95.79	98.20	69.58	25.95	93.24	89.36	87.48	33.84	48.80	75.08	70.04	39.72	83.01	57.16	98.80	53.78	33.76	73.46	49.51	7.54	64.47	8.04
47.06	99.28	68.93	90.75	31.81	88.93	44.77	11.63	7.83	48.45	24.90	72.28	93.06	96.61	43.40	7.75	77.67	65.33	44.16	74.63	15.75	32.80	19.02	75.64	3.40	82.56	36.97	55.69	61.54	98.81	42.71	77.95	49.73	3.56	71.64	68.41	87.88	77.32	98.08	70.74	50.20	94.05	65.88	41.59	13.56	68.43	61.28	90.64	95.35	82.51	58.76	29.83	24.49	91.01	14.15	16.81	65.37	62.03	76.43	73.02	70.24	53.28	83.35	26.22	50.99	87.76	96.29	42.65	58.49	98.48	71.39	99.99	40.61	8.82	46.53	24.91	35.21	25.37	66.10	0.90	55.34	96.24	31.49	33.83	47.13	14.77	29.48	70.95	95.43	35.29	58.43	55.89	15.04	50.87	91.19	22.73	59.13	79.03	99.48	21.40	35.42	19.48	18.51	70.57	77.10	68.58	25.93	96.09	93.15	18.19	36.58	89.27	77.59	89.21	87.97	97.15	1.80	8.89	58.12	55.96	97.87	33.70	41.42	90.07	11.40	77.47	14.22	55.61
71.92	38.36	58.27	15.72	80.02	42.88	16.20	54.56	21.22	8.25	79.32	29.81	84.19	38.64	52.20	45.60	94.94	76.94	15.96	58.09	9.50	31.46	30.65	50.01	80.96	55.66	35.29	54.14	1.15	67.80	1.05	19.57	89.59	10.27	10.35	42.04	11.29	45.02	75.84	98.56	10.37	62.11	37.73	63.34	30.79	63.94	64.42	90.42	93.09	15.67	39.26	83.95	71.17	38.14	8.42	80.28	60.67	85.79	35.31	54.68	44.13	31.77	92.12	96.84	12.07	59.00	15.53	14.93	66.75	98.79	9.14	25.46	78.86	42.15	1.59	48.17	95.81	26.43	24.90	4.76	91.44	78.39	79.93	80.28	32.75	66.00	81.36	86.20	13.59	91.98	40.29	16.87	22.70	52.20	1.53	62.22	57.33	91.17	47.44	65.91	90.45	15.78	23.21	69.02	23.71	12.21	70.57	53.43	35.76	94.34	96.64	5.27	10.84	87.81	53.92	4.91	54.32	40.59	44.07	44.59	65.41	30.11	10.87	79.10	24.91	0.03	6.54	73.44
61.12	59.03	42.41	24.38	36.75	21.51	76.24	77.61	65.39	58.47	17.48	33.26	64.23	41.48	74.55	10.14	74.79	66.44	38.02	25.36	84.95	34.13	38.60	72.13	37.52	82.42	75.39	54.21	4.34	99.08	71.20	11.47	65.65	20.66	26.19	57.08	58.24	20.17	58.79	79.07	8.67	94.19	32.35	84.75	58.93	96.65	90.11	25.23	20.74	97.88	99.09	56.57	41.87	68.64	22.23	98.07	72.57	40.02	73.50	18.44	77.88	73.06	42.64	90.43	98.37	69.37	7.82	90.03	24.50	95.10	91.42	2.43	20.40	18.18	4.13	45.06	32.56	98.36	14.18	12.36	30.84	16.57	48.47	86.21	38.75	88.82	34.53	5.02	11.21	29.75	45.91	68.43	43.18	22.38	54.06	91.55	54.99	96.99	28.78	62.78	91.90	97.64	81.74	26.43	58.43	6.90	14.74	85.84	76.87	73.36	61.27	28.18	56.73	11.12	25.43	18.64	52.11	72.42	80.08	50.97	48.18	45.28	59.76	52.95	38.45	21.83	33.70	68.27
60.94	35.82	86.60	65.00	60.53	78.76	17.78	70.21	95.59	46.43	15.03	95.26	21.62	58.93	36.66	72.99	23.74	21.55	72.59	1.04	80.18	37.13	47.50	10.06	47.48	11.89	2.66	4.89	0.87	14.39	22.85	99.57	30.15	83.30	37.99	2.49	77.18	78.94	33.85	79.55	24.53	53.55	50.11	91.81	99.09	84.91	84.99	8.51	25.34	54.15	20.25	64.11	95.80	24.49	61.74	90.87	81.44	11.66	55.62	14.19	14.80	49.07	89.10	4.89	44.91	36.23	59.48	14.48	96.17	12.49	77.12	37.86	46.29	4.50	9.54	57.31	55.80	41.07	80.88	45.04	63.73	76.57	60.08	41.96	28.19	82.50	88.39	92.10	28.31	97.70	91.50	47.98	35.90	68.80	72.03	39.42	49.95	60.59	74.71	96.99	18.34	98.30	20.00	28.94	82.22	1.70	47.30	78.45	75.94	75.62	61.86	2.48	35.39	8.32	99.92	54.28	32.63	5.43	97.74	34.06	27.75	57.69	18.15	92.84	86.15	76.19	47.42	32.49
35.83	54.34	82.81	3.40	44.26	47.92	45.44	43.56	80.74	68.40	88.42	52.69	90.16	69.31	16.24	35.61	16.29	73.87	81.46	63.90	42.05	99.65	47.71	87.16	49.32	86.73	26.09	94.89	29.57	39.44	42.09	90.74	44.66	61.84	2.67	51.13	18.88	27.44	19.07	74.76	36.10	73.93	74.20	53.39	48.19	39.09	98.10	59.26	63.36	13.62	76.61	0.12	73.16	60.11	31.63	22.62	60.04	25.16	46.33	88.18	78.46	45.54	92.30	4.22	75.03	13.73	42.41	19.11	72.78	6.07	67.00	21.42	91.45	58.54	48.41	50.90	60.82	30.95	20.00	2.44	7.17	58.00	79.49	89.57	80.76	74.50	47.45	38.29	44.04	89.60	93.24	63.85	84.81	88.72	50.90	12.78	41.97	59.39	16.07	85.40	6.49	88.38	80.06	42.05	59.81	77.91	76.91	66.60	86.58	58.67	25.47	45.91	45.76	85.70	86.21	35.60	72.46	67.31	81.94	27.33	57.49	14.59	97.95	38.54	86.40	34.60	58.43	21.86
13.78	58.92	3.59	89.08	5.86	28.49	88.79	84.63	5.41	39.13	25.71	52.37	76.50	28.97	2.32	21.50	12.16	39.09	35.55	28.85	87.22	31.09	25.25	23.97	80.20	55.31	25.10	34.79	2.71	3.57	44.84	50.88	42.21	14.78	3.58	0.12	27.97	41.25	25.02	63.20	47.31	18.00	19.82	51.34	60.86	78.14	27.82	36.18	97.05	29.91	80.39	53.51	42.69	20.63	97.05	13.34	34.62	8.19	68.63	66.35	48.83	66.12	0.25	12.58	49.91	75.14	41.19	0.62	13.90	46.48	51.37	69.47	76.45	42.30	68.77	56.84	2.28	39.79	12.47	78.99	57.65	55.34	65.36	15.77	43.61	39.87	20.59	70.63	79.47	7.39	8.98	90.73	62.23	60.73	50.40	8.74	75.97	13.10	29.95	58.03	55.79	52.44	42.71	39.26	33.20	99.70	19.73	29.80	87.51	21.75	37.79	12.34	87.09	19.11	71.63	25.95	54.30	21.27	94.52	95.22	98.77	10.03	97.09	27.54	93.60	72.35	46.62	12.73
